track_id,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6KwkVtXm8OUp2XffN5k7lY,No Other Name,0.369,0.598,-6.984,0.0304,0.00511,0.0,0.176,0.0466,148.014
2dp5I5MJ8bQQHDoFaNRFtX,Failed Organum,0.171,0.997,-3.586,0.118,0.00521,0.801,0.42,0.0294,122.223
5avw06usmFkFrPjX8NxC40,"Save the Trees, Pt. 1",0.173,0.803,-10.071,0.144,0.613,0.00191,0.195,0.0887,75.564
75hT0hvlESnDJstem0JgyR,Merry Christmas,0.683,0.511,-5.598,0.0279,0.406,0.000197,0.111,0.598,109.991
4bY2oZGA5Br3pTE1Jd1IfY,月の大きさ,0.555,0.941,-3.294,0.0481,0.484,0.0,0.266,0.813,92.487
2zQt5C0AIv27RhfJCRZdZ4,"Jah Jah Revolta, Pt. 2",0.776,0.8,-4.704,0.0438,0.00631,0.0731,0.35,0.583,143.989
6BctgCJXlgxYeR0ObhLdtR,Please Stop Communicating,0.627,0.815,-6.959,0.911,0.785,0.0,0.744,0.532,119.197
1LDQFdGTEXOnycDC8CJ5p1,A Form of Protest,0.395,0.933,-3.6,0.116,8.74e-06,0.0125,0.328,0.194,92.53
2DDR5F7bHFJBiX6lPPsT8O,I'm Ready - Radio Edit,0.914,0.766,-5.662,0.0387,0.192,0.65,0.0747,0.9,126.632
2ScU6iEvgb0TIuKiyem9rg,Proibida Pra Mim (Grazon) - Ao Vivo,0.345,0.976,-4.74,0.0487,0.000587,0.0507,0.487,0.818,181.121
4ifiz8TRTNdG9ORNWh2P0Q,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,-15.414,0.0407,0.829,0.0,0.71,0.381,139.592
5xWxnLpw8ooMW1nJwY2hui,時間がない,0.772,0.675,-9.154,0.0366,0.124,0.0121,0.102,0.68,126.033
3i2L1PRDEwWcUC03y95UPG,Sur,0.423,0.401,-11.219,0.0449,0.726,0.0,0.269,0.507,111.213
46JGS5Gcz5TilUnqGGHnnl,Pega pega (Participação especial de Jojo Maronttinni) - Ao vivo,0.511,0.751,-4.731,0.0924,0.844,0.0,0.962,0.732,158.1
5pq4v03P5PxMcnCagg4S3Z,In Case You Didn’t Know,0.633,0.299,-7.798,0.0353,0.833,0.0,0.109,0.341,147.549
08HJeHs0U9iSbDWX0sWIem,O Sopro do Fole,0.524,0.0856,-17.766,0.0999,0.739,0.0,0.0919,0.316,93.672
198v7BbjXn2GTeI4NkBN39,Vi Mamãe Oxum Na Cachoeira - Live,0.59,0.697,-8.046,0.0323,0.75,0.000163,0.621,0.815,126.911
6bl8PFDgYxbDZHk0LRQhhz,Me Gabber - DJ Paul Elstak & The BeatKrusher Remix,0.553,0.928,-3.544,0.13,0.0251,0.0,0.171,0.305,160.044
0b11D9D0hMOYCIMN3OKreM,Into Your Arms (feat. Ava Max),0.504,0.788,-4.113,0.215,0.0134,0.0,0.363,0.228,170.039
2pXg8l1JGZ3hCyFqxirV13,Mocca,0.786,0.696,-5.343,0.352,0.183,0.0,0.123,0.591,97.956
3dJj6o9o1fRgrojWjailuz,Nobody Can Save Me,0.645,0.688,-4.749,0.0341,0.0107,0.0,0.186,0.433,139.957
0rWLHJnMyJaMFA8x9l8AT0,all the good girls go to hell,0.854,0.446,-8.957,0.198,0.313,0.215,0.156,0.57,92.545
36kDrsAPQ62bI32WPrlJew,Machine Spirit,0.643,0.956,-3.385,0.051,0.000458,0.78,0.228,0.515,104.99
0lASm1brReAnrOirk2f0a2,Bear Crawl,0.738,0.499,-14.344,0.546,0.21,0.0,0.569,0.806,88.916
1WhGXbgwPOTDPB4ZsJBIDG,Time To Jack,0.813,0.863,-8.587,0.0563,0.00024,0.89,0.109,0.717,122.93
2xIbHYxBs1fiR4NkPc8z33,Ready fi di party,0.911,0.616,-12.46,0.272,0.569,0.00795,0.154,0.467,120.999
6NPTmYw2yMu0Oz0IJkoxeR,Mis Noches Te Recuerdan,0.643,0.574,-5.427,0.035,0.583,0.0,0.0492,0.845,108.002
0Xs1Yh44j5cIgUQtOCBcQj,Sometimes Love,0.652,0.806,-3.875,0.0797,0.133,0.0,0.281,0.88,107.883
5TcuM4sQFHK747kwB2q1Qy,Everybody Loves Louis,0.521,0.189,-10.74,0.0478,0.892,0.0,0.0824,0.301,117.833
4bh9zPGpEX1yl9Do6rkhHr,Planet Zero,0.416,0.964,-2.967,0.112,2.35e-05,0.000875,0.473,0.212,157.925
7vk7u7kaqw5A6BtkfoxQf3,Do You?,0.435,0.101,-18.753,0.0487,0.992,0.926,0.101,0.222,107.449
72jbDTw1piOOj770jWNeaG,Paris,0.653,0.658,-6.428,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99
4zD9RBG51Lj8bnQwolLnyu,Wild Life,0.479,0.762,-7.86,0.0378,0.00711,0.011,0.0965,0.0519,115.956
7MiYNyj5si5yiWyeSkgzqB,Joda - Worakls Remix,0.757,0.678,-11.225,0.0323,0.0399,0.849,0.129,0.13,115.01
6suU440DRXoxpLNKWf46XJ,O Resgate,0.553,0.732,-5.206,0.262,0.622,0.0,0.163,0.436,152.59
5ueWiIP0QQcAqbMutT1Ng0,La Mala,0.628,0.787,-6.809,0.139,0.0059,0.0,0.124,0.377,172.045
49Z1VQivkHoY5KGdUwMv5i,Silo (feat. fknsyd),0.472,0.933,-4.985,0.195,0.0632,0.367,0.0678,0.326,159.949
1WDDMw1k46OS4W2IGxmLzj,Ferxxo 100,0.705,0.562,-3.378,0.0674,0.257,0.0,0.137,0.569,163.893
5tmcGYwmon8ufw9igbwwKk,Making Music,0.782,0.342,-15.203,0.0721,0.299,0.0237,0.103,0.345,115.018
5Iqh58mh9xHzOkXNorHibJ,Ruega por Mí (Prega Per Me),0.494,0.404,-10.108,0.0299,0.847,0.0,0.122,0.386,96.387
5llrpUzc5oZ4U2RLruiDeI,Holding,0.472,0.702,-8.965,0.0981,0.82,4.25e-05,0.362,0.351,104.656
6jAoHpOWUd5dpBUy0PW7TR,The Farthest Star,0.552,0.937,-6.738,0.0488,0.0232,0.00268,0.102,0.347,134.98
0LoQuiekvzqx7n8flgEKzF,Get It On,0.728,0.878,-6.926,0.0564,0.176,0.856,0.61,0.911,126.59
34XYMzu7cmqQjItV8mJ77m,Para dos,0.633,0.219,-11.805,0.0887,0.72,0.692,0.113,0.537,118.814
60an8Fb1pH1MniTxTlo2l9,Bloco do Carro Chefe,0.818,0.486,-7.006,0.394,0.0996,0.0,0.0437,0.637,113.192
5FPnjikbwlDMULCCCa6ZCJ,Daughters,0.674,0.413,-7.816,0.0274,0.836,1.95e-05,0.098,0.503,124.893
5kVZxyMY1gfdCLiChsfjn1,Yo No Soy Celoso,0.872,0.588,-6.276,0.0492,0.275,0.0,0.17,0.93,142.004
2Fc99kfkQ1S2RilXcd6xIU,Quieren Efectos,0.553,0.773,-6.446,0.0343,0.173,0.865,0.185,0.597,96.617
47bweAQBrsV1Vi3hDmEIAo,Boozed - Edit,0.462,0.978,-4.089,0.0951,0.0569,0.42,0.168,0.33,168.624
5i7s3sB1LzxeVz8CWVEpAO,Talking Body - The Young Professionals Remix,0.651,0.579,-8.023,0.0379,0.00166,0.000397,0.0794,0.443,138.993
6xwqmrEshHeFlVI3hrc685,Penurias,0.329,0.596,-11.17,0.0569,0.0179,0.00102,0.267,0.413,167.831
21excOPd45gzWN8zCt8Vhw,Angels From The Realms of Glory,0.523,0.322,-8.957,0.0285,0.535,0.0,0.132,0.3,126.002
